note_id,object_type,object_reference,language,author,date,note_text
N-026,component,FAN-AIR-HC,fr,Maintenance,2026-04-03,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-027,component,FAN-AIR-ND,fr,Maintenance,2026-04-17,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-028,component,TEMP-SENS-01,fr,Engineering,2026-03-12,Note de conception : composant vérifié lors de la revue de conception. Aucun point bloquant.
N-029,component,TEMP-SENSOR-ND,fr,Engineering,2026-04-20,Note de conception : composant vérifié lors de la revue de conception. Aucun point bloquant.
N-030,component,FILTER-HVAC-01,en,Maintenance,2026-04-13,Replacement recommendation: retain current material reference until next revision.
N-031,component,DCTRL-001,en,Maintenance,2026-04-29,Replacement recommendation: retain current material reference until next revision.
N-032,component,CTRL-DOOR-HD,en,Maintenance,2026-03-23,Replacement recommendation: retain current material reference until next revision.
N-033,component,CTRL-DOOR-EXP,en,Maintenance,2026-04-11,Replacement recommendation: retain current material reference until next revision.
N-034,component,MOTOR-DOOR-01,en,Engineering,2026-05-03,Installation note: component checked during design review. No open issue.
N-035,component,DPS-01,en,Maintenance,2026-04-18,Replacement recommendation: retain current material reference until next revision.
N-036,component,BrakeCtrl01,fr,Maintenance,2026-03-23,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-037,component,BRAKE-CU-014,fr,Maintenance,2026-04-02,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-038,component,BRAKE-P-SENS,en,Maintenance,2026-05-03,Replacement recommendation: retain current material reference until next revision.
N-039,component,BRK-VLV-01,en,Engineering,2026-04-03,Installation note: component checked during design review. No open issue.
N-040,component,PAX-DISP-15,en,Maintenance,2026-03-17,Replacement recommendation: retain current material reference until next revision.
N-041,component,DISPLAY-15-RUGGED,en,Maintenance,2026-04-18,Replacement recommendation: retain current material reference until next revision.
N-042,component,CTRL-PIS-01,en,Engineering,2026-04-16,Installation note: component checked during design review. No open issue.
N-043,component,AMP-PAX-01,en,Maintenance,2026-04-30,Replacement recommendation: retain current material reference until next revision.
N-044,component,DISPLAY-MOUNT-01,en,Maintenance,2026-04-15,Replacement recommendation: retain current material reference until next revision.
N-045,component,APC-750-24,fr,Engineering,2026-05-01,Note de conception : composant vérifié lors de la revue de conception. Aucun point bloquant.
N-046,component,AUX-CONV-ND,fr,Maintenance,2026-03-31,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-047,component,CONV-FAN-01,en,Maintenance,2026-03-09,Replacement recommendation: retain current material reference until next revision.
N-048,component,CONV-FAN-NORDIC,en,Maintenance,2026-04-04,Replacement recommendation: retain current material reference until next revision.
N-049,component,BMU-001,fr,Maintenance,2026-04-19,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-050,component,BAT-MON-48V,fr,Maintenance,2026-05-04,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-051,component,BCS-028,fr,Engineering,2026-05-08,Note de conception : composant vérifié lors de la revue de conception. Aucun point bloquant.
N-052,component,BTS-029,fr,Engineering,2026-03-19,Note de conception : composant vérifié lors de la revue de conception. Aucun point bloquant.
N-053,component,DRIVER-CAB-CU,en,Maintenance,2026-04-20,Replacement recommendation: retain current material reference until next revision.
N-054,component,CAB-CTRL-ND,en,Engineering,2026-04-17,Installation note: component checked during design review. No open issue.
N-055,component,DRIVER-DISPLAY,fr,Engineering,2026-03-27,Note de conception : composant vérifié lors de la revue de conception. Aucun point bloquant.
N-056,component,PAX-COUNT-CAM,en,Engineering,2026-04-09,Installation note: component checked during design review. No open issue.
N-057,component,PCAM-034,fr,Maintenance,2026-03-18,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-058,component,PASSCOUNT-CPU,fr,Maintenance,2026-04-02,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-059,component,COUNTING-BRKT,fr,Maintenance,2026-04-29,Recommandation maintenance : conserver la référence actuelle jusqu'à la prochaine révision.
N-060,component,LED-DRV-01,fr,Engineering,2026-03-09,Note de conception : composant vérifié lors de la revue de conception. Aucun point bloquant.
N-061,component,LIGHT-DRIVER-NORDIC,en,Engineering,2026-04-06,Installation note: component checked during design review. No open issue.
N-062,component,LLED-039,fr,Engineering,2026-05-07,Note de conception : composant vérifié lors de la revue de conception. Aucun point bloquant.
N-063,component,ELM-040,en,Engineering,2026-04-09,Installation note: component checked during design review. No open issue.
N-064,component,CTRL-AIR-01,en,M. Bernard,2026-05-12,"One legacy BOM extract lists 48V DC, but the current engineering specification and ERP material are 24V DC. Flag for review rather than silently normalizing."
N-065,component,FAN-AIR-03,en,J. Leroy,2026-05-13,Description says high-capacity fan; supplier record and mechanical drawing have not yet been cross-checked in this pilot export.
N-066,component,DOOR-CTRL-HD,fr,S. Martin,2026-05-14,"Attention : certains exports utilisent '24 V' et d'autres '24V'. Il s'agit d'une différence de format, pas de spécification."
N-067,component,PIS-DISPLAY-15,en,P. Dubois,2026-05-15,"A legacy project note mentions 48V, but the current PIS architecture is 24V. Treat the legacy statement as stale evidence."
N-068,assembly,PIS-M04-N,en,A. Johansson,2026-05-16,Nordic display module uses rugged displays. The control unit remains common with the baseline module.
N-069,assembly,PORTES-EXP02,en,J. Leroy,2026-05-17,"Export door module is similar in structure to the standard door module, but the controller is on 48V. Structural similarity does not imply component identity."
N-070,assembly,PASSCOUNT-MOD-N,fr,A. Johansson,2026-05-18,Module de comptage nordique : caméra renforcée recommandée pour la qualification basse température ; processeur identique à la version standard.
N-071,assembly,ECL-EXP09,en,J. Leroy,2026-05-19,Export lighting assembly currently uses the standard mechanical light modules. Electrical driver qualification is under review.
