variant_ref,assembly_id,component_id,base_component_id,is_variant_specific_component
REGIO-COMFORT,ASM-003,COMP-013,COMP-013,false
REGIO-COMFORT,ASM-003,COMP-015,COMP-015,false
REGIO-COMFORT,ASM-003,COMP-016,COMP-016,false
REGIO-COMFORT,ASM-004,COMP-017,COMP-017,false
REGIO-COMFORT,ASM-004,COMP-019,COMP-019,false
REGIO-COMFORT,ASM-004,COMP-020,COMP-020,false
REGIO-COMFORT,ASM-004,COMP-021,COMP-021,false
REGIO-COMFORT,ASM-005,COMP-022,COMP-022,false
REGIO-COMFORT,ASM-005,COMP-024,COMP-024,false
REGIO-COMFORT,ASM-006,COMP-026,COMP-026,false
REGIO-COMFORT,ASM-006,COMP-028,COMP-028,false
REGIO-COMFORT,ASM-006,COMP-029,COMP-029,false
REGIO-COMFORT,ASM-007,COMP-030,COMP-030,false
REGIO-COMFORT,ASM-007,COMP-032,COMP-032,false
REGIO-COMFORT,ASM-008,COMP-033,COMP-033,false
REGIO-COMFORT,ASM-008,COMP-035,COMP-035,false
REGIO-COMFORT,ASM-008,COMP-036,COMP-036,false
REGIO-COMFORT,ASM-009,COMP-037,COMP-037,false
REGIO-COMFORT,ASM-009,COMP-039,COMP-039,false
REGIO-COMFORT,ASM-009,COMP-040,COMP-040,false
REGIO-NORDIC,ASM-001,COMP-001,COMP-001,false
REGIO-NORDIC,ASM-001,COMP-004,COMP-002,true
REGIO-NORDIC,ASM-001,COMP-006,COMP-005,true
REGIO-NORDIC,ASM-001,COMP-007,COMP-007,false
REGIO-NORDIC,ASM-002,COMP-008,COMP-008,false
REGIO-NORDIC,ASM-002,COMP-011,COMP-011,false
REGIO-NORDIC,ASM-002,COMP-012,COMP-012,false
REGIO-NORDIC,ASM-003,COMP-014,COMP-013,true
REGIO-NORDIC,ASM-003,COMP-015,COMP-015,false
REGIO-NORDIC,ASM-003,COMP-016,COMP-016,false
REGIO-NORDIC,ASM-004,COMP-017,COMP-017,false
REGIO-NORDIC,ASM-004,COMP-019,COMP-019,false
REGIO-NORDIC,ASM-004,COMP-020,COMP-020,false
REGIO-NORDIC,ASM-004,COMP-021,COMP-021,false
REGIO-NORDIC,ASM-005,COMP-023,COMP-022,true
REGIO-NORDIC,ASM-005,COMP-024,COMP-024,false
REGIO-NORDIC,ASM-006,COMP-026,COMP-026,false
REGIO-NORDIC,ASM-006,COMP-028,COMP-028,false
REGIO-NORDIC,ASM-006,COMP-029,COMP-029,false
REGIO-NORDIC,ASM-007,COMP-031,COMP-030,true
REGIO-NORDIC,ASM-007,COMP-032,COMP-032,false
REGIO-NORDIC,ASM-008,COMP-033,COMP-033,false
REGIO-NORDIC,ASM-008,COMP-035,COMP-035,false
REGIO-NORDIC,ASM-008,COMP-036,COMP-036,false
REGIO-NORDIC,ASM-009,COMP-038,COMP-037,true
REGIO-NORDIC,ASM-009,COMP-039,COMP-039,false
REGIO-NORDIC,ASM-009,COMP-040,COMP-040,false
REGIO-HC,ASM-001,COMP-001,COMP-001,false
REGIO-HC,ASM-001,COMP-003,COMP-002,true
REGIO-HC,ASM-001,COMP-005,COMP-005,false
REGIO-HC,ASM-001,COMP-007,COMP-007,false
REGIO-HC,ASM-002,COMP-008,COMP-008,false
REGIO-HC,ASM-002,COMP-011,COMP-011,false
REGIO-HC,ASM-002,COMP-012,COMP-012,false
REGIO-HC,ASM-003,COMP-013,COMP-013,false
REGIO-HC,ASM-003,COMP-015,COMP-015,false
REGIO-HC,ASM-003,COMP-016,COMP-016,false
REGIO-HC,ASM-004,COMP-017,COMP-017,false
REGIO-HC,ASM-004,COMP-019,COMP-019,false
REGIO-HC,ASM-004,COMP-020,COMP-020,false
REGIO-HC,ASM-004,COMP-021,COMP-021,false
REGIO-HC,ASM-005,COMP-022,COMP-022,false
REGIO-HC,ASM-005,COMP-024,COMP-024,false
REGIO-HC,ASM-006,COMP-026,COMP-026,false
REGIO-HC,ASM-006,COMP-028,COMP-028,false
REGIO-HC,ASM-006,COMP-029,COMP-029,false
REGIO-HC,ASM-007,COMP-030,COMP-030,false
REGIO-HC,ASM-007,COMP-032,COMP-032,false
REGIO-HC,ASM-008,COMP-033,COMP-033,false
REGIO-HC,ASM-008,COMP-035,COMP-035,false
REGIO-HC,ASM-008,COMP-036,COMP-036,false
REGIO-HC,ASM-009,COMP-037,COMP-037,false
REGIO-HC,ASM-009,COMP-039,COMP-039,false
REGIO-HC,ASM-009,COMP-040,COMP-040,false
REGIO-EXPORT,ASM-001,COMP-001,COMP-001,false
REGIO-EXPORT,ASM-001,COMP-002,COMP-002,false
REGIO-EXPORT,ASM-001,COMP-005,COMP-005,false
REGIO-EXPORT,ASM-001,COMP-007,COMP-007,false
REGIO-EXPORT,ASM-002,COMP-010,COMP-008,true
REGIO-EXPORT,ASM-002,COMP-011,COMP-011,false
REGIO-EXPORT,ASM-002,COMP-012,COMP-012,false
REGIO-EXPORT,ASM-003,COMP-013,COMP-013,false
REGIO-EXPORT,ASM-003,COMP-015,COMP-015,false
REGIO-EXPORT,ASM-003,COMP-016,COMP-016,false
REGIO-EXPORT,ASM-004,COMP-017,COMP-017,false
REGIO-EXPORT,ASM-004,COMP-019,COMP-019,false
REGIO-EXPORT,ASM-004,COMP-020,COMP-020,false
REGIO-EXPORT,ASM-004,COMP-021,COMP-021,false
REGIO-EXPORT,ASM-005,COMP-022,COMP-022,false
REGIO-EXPORT,ASM-005,COMP-024,COMP-024,false
REGIO-EXPORT,ASM-006,COMP-027,COMP-026,true
REGIO-EXPORT,ASM-006,COMP-028,COMP-028,false
REGIO-EXPORT,ASM-006,COMP-029,COMP-029,false
REGIO-EXPORT,ASM-007,COMP-030,COMP-030,false
REGIO-EXPORT,ASM-007,COMP-032,COMP-032,false
REGIO-EXPORT,ASM-008,COMP-033,COMP-033,false
REGIO-EXPORT,ASM-008,COMP-035,COMP-035,false
REGIO-EXPORT,ASM-008,COMP-036,COMP-036,false
REGIO-EXPORT,ASM-009,COMP-037,COMP-037,false
REGIO-EXPORT,ASM-009,COMP-039,COMP-039,false
REGIO-EXPORT,ASM-009,COMP-040,COMP-040,false
